Abhijit Suresh	University of Colorado Boulder
Abhinava Barthakur	University of South Australia
Adetunji Adeniran	Carnegie Mellon University
Aditi Mallavarapu	University of Illinois at Chicago
Aditi Singh	Kent State University
Akihiro Kashihara	The University of Electro-Communications
Alberto Casas-Ortiz	UNED
Aldo Gordillo	Universidad Politécnica de Madrid (UPM)
Alessandro Vivas	UFVJM
Alex Sandro Gomes	Universidade Federal de Pernambuco
Alexandra Cristea	
Alexandra Farazouli	Stockholm University
Alistair Willis	The Open University
Amruth Kumar	Ramapo College of New Jersey
Ana Mouta	Escuela de Doctorado, USAL
Andrew Emerson	Educational Testing Service
Andrew Lan	University of Massachusetts Amherst
Andrew Olney	University of Memphis
Andrew Zamecnik	University of South Australia
Anett Hoppe	TIB Leibniz Information Centre for Science and Technology; L3S Research Centre, Leibniz Universität Hannover
Angel Melendez-Armenta	Tecnologico Nacional de Mexico
Antonio R. Anaya	Universidad Nacional de Educacion a Distancia
Armelle Brun	LORIA - Université de Lorraine
Ayan Banerjee	Arizona State University
Azza Abdullah Alghamdi	KAU
Bastiaan Heeren	Open University, The Netherlands
Beate Grawemeyer	Coventry University
Ben du Boulay	University of Sussex
Benjamin Goldberg	United States Army DEVCOM Soldier Center
Benjamin Nye	USC
Bert Bredeweg	University of Amsterdam
Bita Akram	North Carolina State University
Blair Lehman	Educational Testing Service
Bruce McLaren	CMU
Burak Aksar	Boston University
Carla Limongelli	Universita' Roma Tre
Carlos Felipe Rodriguez-Hernandez	Tecnologico de Monterrey
Carol Forsyth	Educational Testing Service
Carrie Demmans Epp	Carrie Demmans Epp
Cesar A. Collazos	Full Professor
Chris Wong	University of Technology Sydney
Christopher Brooks	University of Michigan
Collin Lynch	North Carolina State University
Cristian Cechinel	Federal University of Santa Catarina
Cristina Dumdumaya	University of Southeastern Philippines
Daevesh Singh	Indian Institute of Technology
Dan Carpenter	North Carolina State University
Daniel Hromada	Einstein Center Digital Future / Berlin University of the Arts
Daniel Moritz-Marutschke	College of Global Liberal Arts, Ritsumeikan University
David Joyner	Georgia Institute of Technology
Davood Shamsi	Apple Inc.
Demetrios Sampson	Curtin University
Diego Dermeval Medeiros da Cunha Matos	Universidade Federal de Alagoas
Diego Zapata-Rivera	Educational Testing Service
Dragan Gasevic	Monash University
Eduard Pogorskiy	Open Files LTD
Eduardo Araujo	The University of Melbourne
Effat Farhana	Vanderbilt University
Elaine Harada Teixeira de Oliveira	Universidade Federal do Amazonas
Elvira Popescu	University of Craiova
Emmanuel Blanchard	IDÛ Interactive Inc.
Ethan Prihar	Worcester Polytechnic Institute
Eva Millan	Universidad de Málaga
Fabiano Dorça	Universidade Federal de Uberlandia
Fahmid Morshed Fahid	North Carolina State University
Filippo Sciarrone	Universitas Mercatorum
Floriana Grasso	University of Liverpool
Fuhua LIN	Athabasca University
Gautam Biswas	Vanderbilt University
Genaro Rebolledo-Mendez	University of British Columbia
Geoffray Bonnin	Université de Lorraine - LORIA
Giora Alexandron	Weizmann Institute of Science
Gordon McCalla	University of Saskatchewan
Guanliang Chen 	Monash University
Guilherme Medeiros Machado	ECE - Paris
Gustavo Zurita	Universidad de Chile
H Chad Lane	University of Illinois
Hady Lauw	Singapore Management University
Hieke Keuning	Utrecht University
Huy Nguyen	Carnegie Mellon University
Ido Roll	Technion - Israel Institute of Technology
Ig Ibert-Bittencourt	Federal University of Alagoas
Ilana Ram	Technion Israel Institute of Technology
Insa Reichow	DFKI
Irena Koprinska	The University of Sydney
Irene-Angelica Chounta	University of Duisburg-Essen
Isabel Hilliger Carrasco	
Isabella Gasparini	Santa Catarina State University
Ivon Arroyo	UMASS
James Lester	North Carolina State University
Jason Harley	McGill University
Jeanine DeFalco	US Army Futures Command
Jeffrey Matayoshi	McGraw Hill ALEKS
Jennifer Olsen	University of San Diego
Jie Cao	University of Colorado Boulder
Jingyung Wang	Durham universtiy
Johan Jeuring	Utrecht University
Jonathan Rowe	North Carolina State University
Josh Underwood	Independent
Julien Broisin	Université Toulouse 3 
Paul Sabatier - IRIT	
Julita Vasileva 	University of Saskatchewan
Kalina Yacef	The University of Sydney
Kasia Muldner	CUNET
Kaska Porayska-Pomsta	UCL Institute of Education
Kathryn McCarthy	Georgia State University
Kazuaki Kojima	Teikyo University
Kazuhisa Seta	Osaka Prefecture University
Kenneth R.Koedinger	CMU
Konomu Dobashi	Aichi University
Laia Albó	Universitat Pompeu Fabra
Laura Allen	University of Minnesota
Laurent Heiser	Université Côte d'Azur, Inspé de Nice
Lei Shi	Newcastle University
LeLe sha	Monash university
Leonardo Marques	Federal University of Alagoas
Li-Hsin Chang	University of Turku
Lingyun Huang	McGill University
Luc Paquette	University of Illinois at Urbana-Champaign
M Ali Akber Dewan	Athabasca University
Manolis Mavrikis	UCL
Maomi Ueno	The University of Electro-Communications
Márcia Fernandes	Federal University of Uberlia
Marco Temperini	Sapienza Universita' di Roma
Marek Ogiela	AGH University of Science and Technology
Maria Cutumisu	University of Alberta
Maria de Los Angeles Constantino González	Tecnológico de Monterrey Campus Laguna
Maria Mercedes T. Rodrigo	Ateneo de Manila University
Marie Lefevre	LIRIS - Université Lyon 1
Marie-Luce Bourguet	Queen Mary University of London
Martina Rau	University of Wisconsin - Madison, Department of Educational Psychology
Masaki Uto	The University of Electro-Communications
Maureen Villamor	University of Southeastern Philippines
Maya Usher	Technion - Israel Institute of Technology
Mercedes T.-Rodrigo	Department of Information Systems and Computer Science, Ateneo de Manila University
Michael Glass	Valparaiso University
Michael Smalenberger	The University of North Carolina at Charlotte
Michelle Barrett	Edmentum
Michelle Taub	University of Central Florida
Miguel Portaz	UNED
Mikel Larrañaga	University of the Basque Country UPV/EHU
Min Chi	NCS
Mingyu Feng	WestEd
Mirjana Ivanovic	University of Novi Sad, Faculty of Sciences, Department of Mathematics and Informatics
Mirko Marras	University of Cagliari
Mizue Kayama	Shinshu University
Mladen Rakovic	Monash University
Mohammed Saqr	University of Eastern Finland
Mohsen Dorodchi	University of North Carolina Charlotte
Monique Grandbastien	LORIA, Universite de Lorraine
Mutlu Cukurova	University College London
Namrata Srivastava	Monash University
Narges Norouzi	UC Berkeley
Nasheen Nur	Florida Institute of Technology
Nathalie Guin	LIRIS - Université de Lyon
Nathaniel Blanchard	Colorado State University
Neil Heffernan	Worcester Polytechnic Institute
Nguyen-Thinh Le	Humboldt Universität zu Berlin
Nigel Bosch	University of Illinois Urbana-Champaign
Nikki Lobczowski	University of Pittsburgh
Nikol Rummel	RUB
Nilay Yalcin	University of British Columbia
Ning Wang	USA
Noboru Matsuda	North Carolina State University
Olga Santos	aDeNu Research Group (UNED)
Paraskevi Topali	Radboud University
Patrícia Tedesco, UFPE	Universidade Federal de Pernambuco
Paul Salvador Inventado	California State University Fullerton
Penghe Chen	Beijing Normal University
Peter Hastings	DePaul University
Peter Wulff	Heidelberg University of Education
Petra Sauer	beuth university of applied sciences
Phaedra Mohammed	The University of the West Indies
Pham Duc Tho	Hung Vuong University
Qianru Liang	University of Hong Kong
Rabin Banjade	University of Memphis
Radek Pelánek	Masaryk University Brno
Rafael Araujo	Federal University of Uberlândia
Rafael Ferreira Mello	Universidade Federal Rural de Pernambuco
Ralph Ewerth	L3S Research Center, Leibniz Universität Hannover
Ranilson Paiva	Universidade Federal de Alagoas
Reva Freedman	Northern Illinois University
Richard Tong	Carnegie Learning
Riichiro Mizoguchi	Japan Advanced Institute of Science and Technology
Rinat B. Rosenberg-Kima	Technion - Israel Institute of Technology
Roberto Martinez-Maldonado	Monash University
Robin Schmucker	Carnege Mellon University
Rod D. Roscoe	Arizona State University
Roger Azevedo	University of Central Florida
Roger Nkambou	Université du Québec à Montréal
Rosa Vicari	Universidade Federal do Rio Grande do Sul
Ruth Cobos	Universidad Autónoma de Madrid
Rwitajit Majumdar	Kumamoto University 
Ryan Baker	University of Pennsylvania
Sadia Nawaz	The University of Melbourne
Samah Alkhuzaey	University of Liverpool
Sarah Bichler	Ludwig Maximilian University of Munich
Sean Siqueira	Federal University of the State of Rio de Janeiro (UNIRIO)
Sébastien George	LIUM, Le Mans Université
Sébastien Lallé	Sorbonne University
Seiji Isotani	Harvard University
Seiyon Lee	University of Pennsylvania
Selen Galiç	HACETTEPE UNIVERSITY
Sergey Sosnovsky	Utrecht University
Seth Adjei	Northern Kentucky University
Seth Corrigan	University of California, Irvine
Shan Li	McGill University
Shi Pu	Educational Testing Service
Sho Yamamoto	Kindai University
Son T. H. Pham	Stephen F. Austin State University
Sonsoles López-Pernas	Universidad Politécnica de Madrid
Sowmya Ramachandran	Stottler Henke Associates Inc
Srecko Joksimovic	Education Future, University of South Australia
Sreecharan Sankaranarayanan	Amazon.com
Stefano Pio Zingaro	Università di Bologna
Stéphanie Jean-Daubias	Université de Lyon, LIRIS
Stephen B. Blessing	University of Tampa
Stephen Fancsali	Carnegie Learning, Inc.
Tai Le Quy	Leibniz University Hannover
Tanci Simões Gomes	
Tanja Käser	EPFL
Tanja Mitrovic	Intelligent Computer Tutoring Group, University of Canterbury, Christchurch
Teng Guo 	Jinan University
Tenzin Doleck	Simon Fraser University
Thomas Price	North Carolina State University
Tomohiro Nagashima	Saarland University
Tomoo Inoue	University of Tsukuba
Tracy Arner	Arizona State University
Traian Rebedea	University Politehnica of Bucharest
Vanda Luengo	Sorbonne Université
Vanessa Echeverria	Monash University
Vania Dimitrova	University of Leeds
Vasile Rus	The University of Memphis
Vincent Wade	Trinity College Dublin
Vinitra Swamy	EPFL
Vitomir Kovanovic	The University of South Australia
Wania Cavalcanti	Universidade Federal do Rio de Janeiro COPPEAD
Wayne Holmes	UCL
Wenbin Gan	National Institute of Information and Communications Technology
Wookhee Min	North Carolina State University
Yang Jiang	Columbia University
Yeojin Kim	North Carolina State University
Yo Ehara	Tokyo Gakugei University
Yu Lu	Beijing Normal University
Yun Huang	Carnegie Mellon University
Zitao Liu	Jinan University
Zixi Chen	University of Minnesota, USA
